,"Nr
okr.","Nr
listy","Nr
poz.",Kandydat,Głosy,"%
w okr.",Mandat
1347,7,8,12,PĘKAŁA Piotr Józef,57,0.00016790138003151833,-
1348,7,8,13,FORYSIUK Monika Elżbieta,32,9.426042387734362e-05,-
1349,7,8,14,SALA Teresa,46,0.00013549935932368146,-
1350,7,8,15,JEŻ Marek,37,0.00010898861510817857,-
1351,7,8,16,JÓZIUK Jolanta Magdalena,22,6.480404141567375e-05,-
1352,7,8,17,SIDORUK Anna,36,0.00010604297686201158,-
1353,7,8,18,SKUPIN Janusz Wiktor,9,2.6510744215502895e-05,-
1354,7,8,19,PANEK Krzysztof Piotr,17,5.00758501848388e-05,-
1355,7,8,20,SZYMACEK Andrzej Waldemar,15,4.418457369250483e-05,-
1356,7,8,21,HOFFMAN Jan Józef,14,4.1238935446337837e-05,-
1357,7,8,22,BUCHYŃSKI Robert Witold,16,4.713021193867181e-05,-
1358,7,10,1,LEWCZUK Henryk,7224,0.021279290690310322,T
1359,7,10,2,LUBAŚ Stanisław,1305,0.0038440579112479197,-
1360,7,10,3,SUSZEK Marek Zdzisław,2053,0.006047395319380827,-
1361,7,10,4,BACZEWSKI Józef Fryderyk,1537,0.004527445984358661,-
1362,7,10,5,STRZĘCIWILK Alfred Henryk,1995,0.005876548301103141,-
1363,7,10,6,JAROCKI Stefan Andrzej,1174,0.0034581793010000444,-
1364,7,10,7,MICHALSKA Izabela Maria,2757,0.008121124644682386,-
1365,7,10,8,DAJEK Stanisław,547,0.0016112641206533426,-
1366,7,10,9,KOŚMIDER Władysław,1495,0.004403729178019647,-
1367,7,10,10,BOSKO Bogdan,1297,0.003820492805278584,-
1368,7,10,11,OŻGA Leokadia Anna,3650,0.010751579598509507,-
1369,7,10,12,GMYZ Maria,3439,0.010130049928568273,-
1370,7,10,13,DOMAŃSKA Maria,1921,0.0056585710708867846,-
1371,7,10,14,BILKIEWICZ Janusz Stefan,616,0.0018145131596388646,-
1372,7,10,15,GUZ Jan Edward,283,0.0008336156236652577,-
1373,7,10,16,SENDECKA Maria,7081,0.020858064421108442,-
1374,8,1,1,BRACHMAŃSKI Andrzej,32251,0.10337090896270108,T
1375,8,1,2,KOCHANOWSKI Jan,16017,0.05133769026869193,T
1376,8,1,3,FREYBERG Ewa,8472,0.027154455388422177,-
1377,8,1,4,BOROWIK Wojciech,3957,0.012682976861660358,-
1378,8,1,5,GRYKO Lidia,5626,0.018032455856381392,-
1379,8,1,6,WONTOR Bogusław,13367,0.042843909959518325,T
1380,8,1,7,OWOC Alfred,11364,0.03642389412582975,T
1381,8,1,8,FALIŃSKI Zbigniew,6611,0.021189577971300638,-
1382,8,1,9,WOŁOWICZ Franciszek,12415,0.039792559448449165,T
1383,8,1,10,KASPRZAK-PERKA Joanna,4060,0.013013112473677294,-
1384,8,1,11,DERECH-KRZYCKI Jakub,10739,0.034420644052911446,T
1385,8,1,12,BORKOWSKA-JOCZ Jolanta,2484,0.007961717089806503,-
1386,8,1,13,GĘBICZ-WITEK Teresa,1602,0.005134730586904193,-
1387,8,1,14,PRZEWŁOCKI Władysław,1134,0.0036346969323029685,-
1388,8,1,15,KĄKALEC Tadeusz,2041,0.006541813438122009,-
1389,8,1,16,JARECKA-CIEŚLAK Romualda,1630,0.005224476190170933,-
1390,8,1,17,ALEKSANDROWICZ Hieronim,2253,0.007221315862855898,-
1391,8,1,18,ZAWADZKA Julita,4286,0.013737487700044551,-
1392,8,1,19,KĘS Kazimierz,3855,0.012356046449760091,-
1393,8,1,20,ZAWADZKA Zofia,2995,0.009599574349424506,-
1394,8,1,21,LEWASZKIEWICZ Ryszard,1186,0.003801367338369771,-
1395,8,1,22,JASICKA Aleksandra,1076,0.00344879532553615,-
1396,8,1,23,MĄCZYŃSKA Anna Maria,1687,0.005407172596821082,-
1397,8,1,24,SMOLEŃ Robert,9682,0.03103274752959201,T
1398,8,2,1,JANKOWSKI Maciej,4269,0.013682999298061174,-
1399,8,2,2,CHRZANOWSKI Andrzej Mieczysław,3059,0.009804707156891341,-
1400,8,2,3,RUTKOWSKI Roman Stanisław,2828,0.009064305929940735,-
1401,8,2,4,BARCZAK Piotr,1180,0.0037821361376697555,-
1402,8,2,5,KUDYNOWSKI Andrzej,224,0.0007179648261339197,-
1403,8,2,6,SZUMNA Wanda Elżbieta,370,0.0011859240431676351,-
1404,8,2,7,WALCZOWSKI Tadeusz Jan,225,0.000721170026250589,-
1405,8,2,8,NADWORSKA Karina Ilona,164,0.0005256528191337626,-
1406,8,2,9,SONDEJ Roman,287,0.0009198924334840846,-
1407,8,2,10,BAKALARZ Bogdan Adam,888,0.0028462177036023243,-
1408,8,2,11,BUDNIAK Marek Józef,821,0.0026314692957854825,-
1409,8,2,12,CZYŻ Janusz Mirosław,401,0.001285285246784383,-
1410,8,2,13,KUCZYŃSKI Marek Józef,457,0.001464776453317863,-
1411,8,2,14,SEMENIUK Zbigniew,556,0.001782091264868122,-
1412,8,2,15,ZIENIUK Bogusław,86,0.00027564721003355843,-
1413,8,2,16,TEREK Zbigniew Jan,141,0.0004519332164503691,-
1414,8,2,17,GANCARZ Ewa Danuta,378,0.0012115656441009895,-
1415,8,2,18,HRECZYŃSKI Tomasz,80,0.00025641600933354276,-
1416,8,2,19,SOBIESZCZUK Alfred,70,0.0002243640081668499,-
1417,8,2,20,GÓRNICKI Ryszard,233,0.0007468116271839432,-
1418,8,2,21,CZEKALIK Marian Andrzej,46,0.00014743920536678708,-
1419,8,2,22,PAWŁOWSKA Regina,284,0.0009102768331340767,-
1420,8,2,23,KRÓL - ŁĘGOWSKA Katarzyna,118,0.0003782136137669755,-
1421,8,2,24,IWAN Stanisław Antoni,1530,0.004903956178504005,-
1422,8,3,1,WIERCHOWICZ Jerzy,4260,0.01365415249701115,-
1423,8,3,2,FIEDOROWICZ Czesław,2083,0.006676431843022119,-
1424,8,3,3,WOROPAJ Wojciech Józef,373,0.001195539643517643,-
1425,8,3,4,POLAK Elżbieta Anna,604,0.0019359408704682478,-
1426,8,3,5,ŚWIDER Andrzej Leszek,356,0.0011410512415342652,-
1427,8,3,6,PIETRUSZAK Wiesław,320,0.001025664037334171,-
1428,8,3,7,LITEWKA Barbara Irena,403,0.0012916956470177216,-
1429,8,3,8,WAWRZYNIAK Wiesława Halina,184,0.0005897568214671483,-
1430,8,3,9,POTORSKI Ryszard,136,0.00043590721586702263,-
1431,8,3,10,WRÓBLEWSKI Radosław Artur,209,0.0006698868243838805,-
1432,8,3,11,RATAJCZAK Wiesław,177,0.0005673204206504633,-
1433,8,3,12,SZARŁATA Marek,192,0.0006153984224005026,-
1434,8,3,13,MARCISZONEK Irena,117,0.00037500841365030625,-
1435,8,3,14,KOŁOSIONEK Tadeusz,126,0.00040385521470032984,-
1436,8,3,15,WALKÓW Grzegorz Daniel,101,0.00032372521178359773,-
1437,8,3,16,DĘBSKA-SZMYT Stanisława,48,0.00015384960560012564,-
1438,8,3,17,JASIONEK Tadeusz,200,0.0006410400233338568,-
1439,8,3,18,SZCZEŚNIEWICZ Anna Teresa,137,0.00043911241598369196,-
1440,8,3,19,SOWIŃSKA Gabriela Marianna,78,0.00025000560910020417,-
1441,8,3,20,GROBLICA Sylwia,67,0.00021474840781684205,-
1442,8,3,21,CHRZĘŚCIEWSKI Piotr,97,0.00031090441131692055,-
1443,8,3,22,TCHÓRZEWSKA Małgorzata,53,0.00016987560618347207,-
1444,8,3,23,ROMAŃSKI Paweł Tadeusz,62,0.00019872240723349562,-
1445,8,3,24,FINSTER Patrycja Flavia,109,0.000349366812716952,-
1446,8,4,1,OSTROWSKI Henryk,9653,0.030939796726208602,T
1447,8,4,2,PRZYBYLSKI Andrzej,3101,0.00993932556179145,-
1448,8,4,3,NOWAK Andrzej,2727,0.008740580718157137,-
1449,8,4,4,MINKIEWICZ Anna,3437,0.01101627280099233,-
1450,8,4,5,BLODA Adam,862,0.002762882500568923,-
1451,8,4,6,STASZEWSKI Benedykt,969,0.0031058389130525364,-
1452,8,4,7,TYBLEWSKI Jan,572,0.0018333744667348305,-
1453,8,4,8,TOMLIK Kazimierz,506,0.0016218312590346579,-
1454,8,4,9,SZYMCZAK Marian,1122,0.003596234530902937,-
1455,8,4,10,JURCZUK Renata,1993,0.006387963832521884,-
1456,8,4,11,SZWED Eugeniusz,602,0.0019295304702349092,-
1457,8,4,12,SEROKA Michał,407,0.0013045164474843986,-
1458,8,4,13,BAWOROWSKI Leszek,515,0.0016506780600846814,-
1459,8,4,14,DOLIŃSKI Wiesław,270,0.0008654040315007067,-
1460,8,4,15,BERNAT Izydor,292,0.000935918434067431,-
1461,8,4,16,GRABOWSKI Andrzej,1772,0.005679614606737972,-
1462,8,4,17,SZAWŁOWSKI Jan,215,0.0006891180250838961,-
1463,8,4,18,OLEK Marek,942,0.003019298509902466,-
1464,8,5,1,MARCINKIEWICZ Kazimierz,8367,0.0268179093761719,T
1465,8,5,2,AST Marek,2624,0.008410445106140202,-
1466,8,5,3,SUSŁOWICZ Romuald,499,0.001599394858217973,-
1467,8,5,4,KOŁODZIEJCZAK Bogusław,514,0.001647472859968012,-
1468,8,5,5,MADEJ Ireneusz,823,0.002637879696018821,-
1469,8,5,6,JANOWICZ Danuta Regina,1120,0.0035898241306695985,-
1470,8,5,7,PUŻAK Tadeusz,428,0.0013718256499344536,-
1471,8,5,8,BIELAWSKI Jerzy,460,0.0014743920536678706,-
1472,8,5,9,GUZIKOWSKA Joanna,685,0.0021955620799184597,-
1473,8,5,10,GALERCZYK Krzysztof Jan,262,0.0008397624305673525,-
1474,8,5,11,WÓJCIK Marcin,258,0.0008269416301006753,-
1475,8,5,12,KLUZA Roman Tadeusz,200,0.0006410400233338568,-
1476,8,5,13,SAGAN Hubert,277,0.0008878404323173917,-
1477,8,5,14,KLATTA Piotr,225,0.000721170026250589,-
1478,8,5,15,ANTCZAK Mieczysław,320,0.001025664037334171,-
1479,8,5,16,ZADREJKO Oskar,132,0.0004230864154003455,-
1480,8,5,17,WOJTASZEK Jerzy Kazimierz,152,0.0004871904177337312,-
1481,8,5,18,ŁUCZYŃSKI Piotr Jacek,326,0.0010448952380341867,-
1482,8,6,1,ANDRYKIEWICZ Jan Tadeusz,1620,0.00519242418900424,-
1483,8,6,2,ZYCH Józef,7378,0.023647966460785978,T
1484,8,6,3,ŚWIREPO Jan,2152,0.0068975906510723,-
1485,8,6,4,FEDAK Jolanta,555,0.0017788860647514528,-
1486,8,6,5,SŁAWIAK Bożena Maria,5657,0.01813181705999814,-
1487,8,6,6,TOMCZYSZYN Stanisław,427,0.0013686204498177844,-
1488,8,6,7,PROTASOWICKI Mieczysław,246,0.000788479228700644,-
1489,8,6,8,MUSIALSKI Bogdan Edward,259,0.0008301468302173447,-
1490,8,6,9,CHUDY Roman Edward,411,0.001317337247951076,-
1491,8,6,10,KOWALCZYK Stanisław,731,0.0023430012852852468,-
1492,8,6,11,MAŁOZIĘĆ Grażyna,415,0.001330158048417753,-
1493,8,6,12,OWSIAK Leopold,516,0.0016538832602013506,-
1494,8,6,13,OLEJNICZAK Mirosław Wojciech,436,0.001397467250867808,-
1495,8,6,14,GABRYELSKI Grzegorz,303,0.0009711756353507931,-
1496,8,6,15,STRAUS Dariusz,403,0.0012916956470177216,-
1497,8,6,16,SZYKUŁA Maciej,213,0.0006827076248505575,-
1498,8,6,17,BAGIŃSKI Robert,183,0.000586551621350479,-
1499,8,6,18,STACHÓW Krystyna,405,0.00129810604725106,-
1500,8,6,19,BIAŁEK Wojciech Rafał,80,0.00025641600933354276,-
1501,8,6,20,MAGDA Rafał,109,0.000349366812716952,-
1502,8,6,21,KACZMAREK Jarosław Józef,369,0.001182718843050966,-
1503,8,6,22,KORNOWICZ Bogusława,136,0.00043590721586702263,-
1504,8,6,23,URBANIAK Anna,268,0.0008589936312673682,-
1505,8,6,24,MARUSZEWSKI Krzysztof,110,0.00035257201283362126,-
1506,8,7,1,BACHALSKI Dariusz Jacek,9186,0.029442968271724046,T
1507,8,7,2,SOSNOWSKI Jan,2506,0.008032231492373226,-
1508,8,7,3,KRAJEWSKI Józef,1611,0.005163577387954217,-
1509,8,7,4,JABŁOŃSKI Roman,1830,0.0058655162135047905,-
1510,8,7,5,BUKIEWICZ Bożenna,3024,0.009692525152807916,-
1511,8,7,6,DASZKIEWICZ Edward,3469,0.011118839204725747,-
1512,8,7,7,PNIEWSKI Wiesław,756,0.002423131288201979,-
1513,8,7,8,PIENIĘŻNY Ziemowit,1208,0.0038718817409364955,-
1514,8,7,9,JABŁOŃSKI Marcin,1792,0.005743718609071358,-
1515,8,7,10,SIERPATOWSKI Marian,729,0.0023365908850519084,-
1516,8,7,11,SZMYT Gerard,371,0.0011891292432843045,-
1517,8,7,12,SKIBA Wojciech,1257,0.004028936546653291,-
1518,8,7,13,MIZAK Ryszard,268,0.0008589936312673682,-
1519,8,7,14,CHAMERA Ireneusz,474,0.0015192648553012406,-
1520,8,7,15,BIEL Andrzej,382,0.0012243864445676666,-
1521,8,7,16,MICHALAK Andrzej,509,0.0016314468593846656,-
1522,8,7,17,JODKOWSKI Kazimierz,1250,0.0040065001458366055,-
1523,8,8,1,ZARZYCKI Mieczysław Albert,257,0.000823736429984006,-
1524,8,8,2,ŻBIKOWSKA Grażyna,98,0.00031410961143358987,-
1525,8,8,3,ZIELIŃSKI Jerzy,88,0.000282057610266897,-
1526,8,8,4,SZYMANIAK Elżbieta Barbara,104,0.00033334081213360554,-
1527,8,8,5,GUZEK Wacław,72,0.00023077440840018847,-
1528,8,8,6,ŚWINIAREK Zygmunt Jan,48,0.00015384960560012564,-
1529,8,8,7,LEŚNIEWSKA Beata Stanisława,94,0.00030128881096691274,-
1530,8,8,8,DOPIERAŁA Sylwester,62,0.00019872240723349562,-
1531,8,8,9,BOGALEJSZA Mirella,39,0.00012500280455010208,-
1532,8,8,10,ŁOWICKI Kazimierz,44,0.0001410288051334485,-
1533,8,8,11,KULEJ Tadeusz Maciej,33,0.00010577160385008638,-
1534,8,8,12,ZUBRZYCKA-URBAŃSKA Dorota Agnieszka,58,0.0001859016067668185,-
1535,8,8,13,BYLICA Zbigniew,31,9.936120361674781e-05,-
1536,8,8,14,SZATARSKA Leokadia,22,7.051440256672426e-05,-
1537,8,8,15,TOMASZEWICZ Tadeusz,26,8.333520303340139e-05,-
1538,8,8,16,KUBLIK Henryk,17,5.448840198337783e-05,-
1539,8,8,17,DĄBROWSKA Eulalia Maria,40,0.00012820800466677138,-
1540,8,8,18,NOLBRZAK Mirosław,14,4.487280163336998e-05,-
1541,8,8,19,TOMZA Jacek Józef,25,8.01300029167321e-05,-
1542,8,10,1,GUDZOWSKI Stanisław Eugeniusz,6197,0.019862625122999553,T
1543,8,10,2,SOROKA Janusz Leon,636,0.0020385072742016646,-
1544,8,10,3,KOSTRZEWA Zdzisław Kazimierz,1171,0.003753289336619732,-
1545,8,10,4,LESZCZYŃSKI Józef,1042,0.003339818521569394,-
1546,8,10,5,JAWORSKI Adam,1098,0.003519309728102874,-
1547,8,10,6,DZIEDZIC Krzysztof,472,0.001512854455067902,-
1548,8,10,7,WASYLCIÓW Wiesław Piotr,698,0.0022372296814351603,-
1549,8,10,8,NOWIK Jan,1292,0.004141118550736715,-
1550,8,10,9,WOBALIS Teresa,968,0.003102633712935867,-
1551,8,10,10,LIS Zbigniew Józef,704,0.002256460882135176,-
1552,8,10,11,STAŃCZYK Mariusz Jerzy,501,0.0016058052584513114,-
1553,8,10,12,FRYZIAK Wiesław,266,0.0008525832310340297,-
1554,8,10,13,WOJTKOWSKA Jadwiga Krystyna,1483,0.004753311773020548,-
1555,8,10,14,WOJCIECHOWICZ Stanisław,450,0.001442340052501178,-
1556,8,13,1,OZIMKIEWICZ Marek Adam,346,0.0011089992403675723,-
1557,8,13,2,BIAŁY Leszek Stanisław,40,0.00012820800466677138,-
1558,8,13,3,TATARZYŃSKA Marzanna Janina,76,0.0002435952088668656,-
1559,8,13,4,PAPIER Włodzimierz Stanisław,45,0.00014423400525011778,-
1560,8,13,5,MIGDAŁ Ryszard,202,0.0006474504235671955,-
1561,8,13,6,BORKOWSKA Bożena Teresa,90,0.00028846801050023556,-
1562,8,13,7,UDZIELA Andrzej,178,0.0005705256207671326,-
1563,8,13,8,KACZMARCZYK Andrzej,153,0.0004903956178504005,-
1564,8,13,9,ZAGROBELNY Ryszard,67,0.00021474840781684205,-
1565,8,13,10,KOWALSKA Dorota Barbara,63,0.00020192760735016492,-
1566,8,13,11,CHOLEWA Lech,85,0.00027244200991688916,-
1567,8,13,12,RADLIŃSKA-TYMA Rosanna,30,9.615600350007853e-05,-
1568,8,13,13,MADALIŃSKA Justyna Anna,59,0.00018910680688348776,-
1569,8,14,1,KASIŃSKI Henryk,190,0.000608988022167164,-
1570,8,14,2,TABERSKA-CICHY Monika Edyta,50,0.0001602600058334642,-
1571,8,14,3,ROSOŁOWSKI Jacek,42,0.00013461840490010995,-
1572,8,14,4,RAJCZYK Alina Maria,64,0.0002051328074668342,-
1573,8,14,5,KOLCZYŃSKI Zbigniew Tadeusz,44,0.0001410288051334485,-
1574,8,14,6,WOJTKOWIAK Krystyna,72,0.00023077440840018847,-
1575,8,14,7,CYRANIK Paweł,31,9.936120361674781e-05,-
1576,8,14,8,KLOS Roma Anna,67,0.00021474840781684205,-
1577,8,14,9,JĘDRUSIAK Mariusz Artur,20,6.410400233338569e-05,-
1578,8,14,10,MROCZKA Barbara,47,0.00015064440548345637,-
1579,8,14,11,PARAFIANOWICZ Mirosław,17,5.448840198337783e-05,-
1580,8,14,12,ODWAŻNA Jolanta Maria,53,0.00016987560618347207,-
1581,8,14,13,CHMIELOWIEC Anna Sylwia,18,5.769360210004712e-05,-
1582,8,14,14,MIŚKÓW Alicja Zofia,45,0.00014423400525011778,-
1583,8,14,15,MARASZKIEWICZ Andrzej Janusz,39,0.00012500280455010208,-
1584,9,1,1,MILLER Leszek Cezary,145637,0.43453366631160917,T
1585,9,1,2,KANIEWSKI Zbigniew Waldemar,4037,0.012045101251055476,T
1586,9,1,3,KRALKOWSKA Ewa,3676,0.010967994104255618,T
1587,9,1,4,MURYNOWICZ Alicja Maria,3311,0.00987895225222806,T
1588,9,1,5,BASZCZYŃSKI Krzysztof Andrzej,3588,0.010705430589246234,T
1589,9,1,6,ROSŁOŃSKI Tomasz Sylwester,1161,0.0034640481923397097,-
1590,9,1,7,ADAMSKA Anna Małgorzata,1249,0.0037266117073490933,-
1591,9,1,8,RADOMIŃSKA Ewa Joanna,723,0.0021571979699066407,-
1592,9,1,9,WYSOCKA Wiesława,551,0.0016440056451155728,-
1593,9,1,10,CELLER Wiktor Ryszard,1026,0.0030612518909048595,-
1594,9,1,11,KACZMAREK Romuald,605,0.0018051241656895126,-
1595,9,1,12,SITEK Włodzimierz Stanisław,1352,0.004033930366962349,-
1596,9,1,13,ZDROJEWSKI Tadeusz Władysław,188,0.000560931145701865,-
1597,9,1,14,BISKUPSKA-NEIDOWSKA Dorota,424,0.0012650787541361214,-
1598,9,1,15,LICHTOROWICZ Ewa Zofia,540,0.0016111852057393997,-
1599,9,1,16,SKWARKA Władysław,2085,0.0062209650999382375,-
1600,9,1,17,SZCZEŚNIAK Adam,278,0.0008294620133250984,-
1601,9,1,18,CIBORSKA Lucyna Jolanta,490,0.001462001390393159,-
1602,9,1,19,JANKOWSKA Elżbieta Róża,2139,0.006382083620512178,T
1603,9,1,20,ORZECHOWSKA-KŁUCJASZ Iwona,781,0.00233025119570828,-
1604,9,1,21,DUDA Zenobiusz,566,0.0016887607897194449,-
1605,9,1,22,POLAK Wiesława Zofia,516,0.0015395769743732043,-
1606,9,2,1,KROPIWNICKI Jerzy Janusz,10425,0.03110482549969119,-
1607,9,2,2,MARKIEWICZ Marek Sławomir,3718,0.011093308509146459,-
1608,9,2,3,NIESIOŁOWSKI Stefan Konstanty,2972,0.008867485984180547,-
1609,9,2,4,PYKA Marek Michał,239,0.0007130986373550306,-
1610,9,2,5,LIPIŃSKI Jan Stefan,197,0.0005877842324641885,-
1611,9,2,6,KOWALIK Marek Władysław,136,0.00040577997774177474,-
1612,9,2,7,PEŁKA Jan,174,0.0005191596774049177,-
1613,9,2,8,SZAFRAN Dorota Aleksandra,170,0.0005072249721772184,-
1614,9,2,9,SANKOWSKI Dominik Jan,111,0.0003311880700686544,-
1615,9,2,10,SZOLC-KOWALSKA Anna Maria,182,0.0005430290878603162,-
1616,9,2,11,STĘPIEŃ Piotr,98,0.0002924002780786318,-
1617,9,2,12,ANTCZAK Maria Anna,111,0.0003311880700686544,-
1618,9,2,13,PAPIS Marian,182,0.0005430290878603162,-
1619,9,2,14,WILCZYŃSKI Zbigniew,68,0.00020288998887088737,-
1620,9,2,15,MILCZAREK Piotr Stefan,134,0.0003998126251279251,-
1621,9,2,16,GERLICZ Witold Wojciech,193,0.0005758495272364892,-
1622,9,3,1,JĘDRZEJCZAK Andrzej Józef,3050,0.009100212736120683,-
1623,9,3,2,ROSSET Witold Andrzej,2840,0.008473640711666473,-
1624,9,3,3,LUBNAUER Katarzyna Anna,925,0.002759900583905453,-
1625,9,3,4,GOLAŃSKI Ryszard Szczepan,974,0.002906100722944769,-
1626,9,3,5,POLAKOW-NEJMAN Anna Wanda,307,0.000915988626225918,-
1627,9,3,6,MATUSZCZYK Bożena Łucja,267,0.0007966415739489254,-
1628,9,3,7,KĘBLIŃSKA Mirosława Krystyna,307,0.000915988626225918,-
1629,9,3,8,ABRAMCZYK Halina,196,0.0005848005561572636,-
1630,9,3,9,SALSKI Tomasz,233,0.0006951965795134817,-
1631,9,3,10,LIPIŃSKI Krzysztof,185,0.0005519801167810906,-
1632,9,3,11,KRĘŻEL Przemysław Robert,119,0.0003550574805240529,-
1633,9,3,12,STEFANIAK Wojciech Piotr,73,0.00021780837040551144,-
1634,9,3,13,SOSKA Barbara Teresa,170,0.0005072249721772184,-
1635,9,3,14,WIJATA Tadeusz Ryszard,108,0.00032223704114787993,-
1636,9,3,15,STEFAŃCZYK Marianna Teresa,115,0.00034312277529635366,-
1637,9,3,16,ZATYLNY Andrzej Zbigniew,47,0.00014023278642546626,-
1638,9,3,17,SĘK Jerzy Piotr,146,0.0004356167408110229,-
1639,9,3,18,SOSNOWSKA Agnieszka,303,0.0009040539209982187,-
1640,9,3,19,LESZCZYŃSKI Marek,79,0.00023571042824706032,-
1641,9,3,20,SZEWCZYK Piotr Michał,88,0.00026256351500938366,-
1642,9,3,21,STAŃCZYK Włodzimierz Andrzej,251,0.0007489027530381283,-
1643,9,4,1,RUTKOWSKI Krzysztof,13946,0.04161034977637346,T
1644,9,4,2,PAWŁOWSKI Włodzimierz Zdzisław,1377,0.00410852227463547,-
1645,9,4,3,DRATKIEWICZ Andrzej Ignacy,573,0.0017096465238679187,-
1646,9,4,4,NOWAK Kazimierz Marian,962,0.0028702966072616715,-
1647,9,4,5,MAURER Zbigniew Sławomir,526,0.0015694137374424523,-
1648,9,4,6,WOJTAS Józef Paweł,412,0.0012292746384530236,-
1649,9,4,7,RYBCZYŃSKI Krzysztof Paweł,316,0.0009428417129882413,-
1650,9,4,8,MICHALAK Zbigniew Tomasz,358,0.0010681561178790835,-
1651,9,4,9,MAŁECKA Halina Zofia,998,0.002977708954310965,-
1652,9,4,10,KSIĄŻCZYK Jerzy Bolesław,140,0.000417714682969474,-
1653,9,4,11,CZERWIŃSKI Bogusław Marian,172,0.000513192324791068,-
1654,9,4,12,CIEPŁUCHA Wacław,232,0.000692212903206557,-
1655,9,4,13,SIEROCIŃSKA Izabela Joanna,386,0.0011516990544729784,-
1656,9,4,14,HAZELMAJER Mariusz Piotr Krzysztof,88,0.00026256351500938366,-
1657,9,4,15,MATYJASZCZYK Igor Dariusz,73,0.00021780837040551144,-
1658,9,4,16,MATUSIAK Teresa Irena,351,0.0010472703837306099,-
1659,9,4,17,TYBOROWSKI Wiesław,71,0.00021184101779166183,-
1660,9,4,18,BEDNAREK Elżbieta Ewa,268,0.0007996252502558502,-
1661,9,4,19,GOŁĄB Janusz Adam,247,0.0007369680478104292,-
1662,9,4,20,PILARSKA Anna Maria,322,0.0009607437708297902,-
1663,9,4,21,KOSMA Izabela Bogumiła,165,0.0004923065906425944,-
1664,9,4,22,PASEK Iwona,440,0.0013128175750469183,-
1665,9,5,1,WIĘCŁAWSKA Elżbieta,13186,0.039342755783110604,T
1666,9,5,2,GODYCKI-ĆWIRKO Maciej Tadeusz,2012,0.006003156729532727,-
1667,9,5,3,STRZEMBOSZ Piotr Henryk,6977,0.02081710959341443,-
1668,9,5,4,JAGIEŁŁO Jarosław,2191,0.006537234788472269,-
1669,9,5,5,BARTYZEL Małgorzata Maria,2290,0.006832618742857825,-
1670,9,5,6,SZMIGIELSKI Witold,332,0.0009905805338990383,-
1671,9,5,8,SKONIECZNY Zygmunt,440,0.0013128175750469183,-
1672,9,5,9,WENTLANDT-WALKIEWICZ Maria Teresa,897,0.0026763576473115584,-
1673,9,5,10,ADAMSKA-KĘPKA Małgorzata,542,0.0016171525583532494,-
1674,9,5,11,FELCZAK Piotr Aleksander,294,0.0008772008342358954,-
1675,9,5,12,BALCEREK Jerzy,616,0.0018379446050656857,-
1676,9,5,13,ANYSZEWSKI Paweł,280,0.000835429365938948,-
1677,9,5,14,KACZMAREK Anna Marianna,644,0.0019214875416595804,-
1678,9,5,15,GZIK Jerzy,167,0.000498273943256444,-
1679,9,5,16,LOBA Jerzy Andrzej,482,0.0014381319799377605,-
1680,9,5,17,RYDZ Marian Janusz,139,0.0004147310066625492,-
1681,9,5,18,PIĄTKOWSKI Krzysztof Mariusz,432,0.0012889481645915197,-
1682,9,5,19,KRASNODĘBSKA Bożenna,844,0.0025182228030445433,-
1683,9,6,1,SIEMIŃSKI Henryk Stanisław,1088,0.003246239821934198,-
1684,9,6,2,KOWALSKI Kazimierz,826,0.0024645166295198966,-
1685,9,6,3,SZMIT Jerzy,411,0.0012262909621460988,-
1686,9,6,4,SKIERSKI Tomasz,197,0.0005877842324641885,-
1687,9,6,5,ARENT Jerzy,144,0.0004296493881971733,-
1688,9,6,6,MARCIŃCZAK Ryszard,129,0.00038489424359330107,-
1689,9,6,7,UBYCH Marek Roman,97,0.000289416601771707,-
1690,9,6,8,PIECHOTA Tomasz,1058,0.0031567295327264537,-
1691,9,6,9,BOREK Czesław Tadeusz,172,0.000513192324791068,-
1692,9,6,10,MIELCZAREK Jan,1207,0.003601297302458251,-
1693,9,6,11,GÓRAJEK Leszek Edward,617,0.0018409282813726105,-
1694,9,6,12,MASZEWSKA Sylwia Izabela,372,0.001109927586176031,-
1695,9,6,13,KACZOROWSKI Andrzej,211,0.0006295557007611358,-
1696,9,6,14,MATERA Bolesław,76,0.0002267593993262859,-
1697,9,6,15,GMEREK Henryka,80,0.00023869410455398514,-
1698,9,6,16,GRZYBEK Irena Kornelia,126,0.0003759432146725266,-
1699,9,6,17,STELMASZCZYK Bogumił Jerzy,57,0.00017006954949471442,-
1700,9,6,18,KACPRZYCKI Adam Tomasz,60,0.00017902057841548885,-
1701,9,6,19,DURKACZ Gabriela,116,0.0003461064516032785,-
1702,9,6,20,MUSZYŃSKI Henryk,148,0.0004415840934248725,-
1703,9,6,21,BIŃKOWSKI Feliks Józef,409,0.001220323609532249,-
1704,9,6,22,LEONARCIK Henryk,269,0.0008026089265627751,-
1705,9,7,1,DRZEWIECKI Mirosław Michał,7823,0.023341299749072824,T
1706,9,7,2,ŚLEDZIŃSKA-KATARASIŃSKA Iwona Elżbieta,12161,0.036284487568512665,T
1707,9,7,3,GUMOWSKI Marek Kazimierz,3296,0.009834197107624188,-
1708,9,7,4,SKRZYDLEWSKA Joanna Katarzyna,4212,0.012567244604767318,-
